mjd	mag	rmsmag	band
60787.111309155094	22.336	0.066	i
60787.11233025463	22.181	0.055	i
60787.11650885417	22.293	0.065	i
60787.11752716435	22.193	0.061	i
60787.11915486111	22.097	0.058	i
60787.12431576389	22.272	0.072	i
60787.125841863424	22.25	0.056	i
60787.126874953705	22.247	0.061	i
60787.128398657405	22.266	0.059	i
60787.12941436343	22.333	0.068	i
60787.13094915509	22.289	0.057	i
60787.13196466435	22.338	0.077	i
60787.13354326389	22.275	0.06	i
60790.11731216435	22.325	0.05	r
60790.118846157406	22.466	0.064	r
60790.1198728588	22.548	0.087	r
60790.12139645834	22.473	0.076	r
60790.12398135417	22.489	0.068	r
60790.132206064816	22.561	0.066	r
60790.13617025463	23.143	0.067	g
60790.1377149537	23.064	0.059	g
60790.13875005787	22.909	0.056	g
60790.14126815972	23.083	0.06	g
60790.14800275463	23.133	0.064	g
60790.17847115741	22.995	0.059	g
60790.180868055555	22.382	0.076	i
60790.1826790625	22.333	0.095	i
60790.18377085648	22.328	0.085	i
60790.18532755787	22.303	0.087	i
60790.18642106481	22.364	0.087	i
60790.18797385417	22.452	0.091	i
60790.18904986111	22.55	0.109	i
60793.1355990625	23.155	0.067	g
60793.137054363426	23.085	0.065	g
60793.13803065972	23.007	0.061	g
60793.139491354166	23.049	0.067	g
60793.14047425926	23.025	0.069	g
60793.14193525463	22.92	0.056	g
60793.142930462964	23.048	0.061	g
60793.144401157406	23.063	0.067	g
60793.18356665509	22.427	0.057	r
60793.18501516204	22.445	0.051	r
60793.1860074537	22.521	0.06	r
60793.187517858794	22.453	0.059	r
60793.19100565972	22.384	0.054	r
60793.19200236111	22.479	0.061	r
60793.19300085648	22.464	0.058	r
60793.19449115741	22.538	0.067	r
60793.196798460645	23.075	0.068	g
60793.19832956018	23.116	0.073	g
60793.199321458334	23.092	0.076	g
60793.201834155094	23.088	0.07	g
60793.20333736111	22.951	0.069	g
60793.2043240625	23.07	0.071	g
60793.20585346065	22.973	0.068	g
60795.068243761576	22.45	0.057	r
60795.06925565972	22.509	0.056	r
60795.07023085648	22.581	0.061	r
60795.07172695602	22.527	0.052	r
60795.07269936342	22.46	0.05	r
60795.10168895833	22.371	0.078	r
60795.14708055556	23.032	0.057	g
60795.147565555555	22.983	0.054	g
60795.148545358796	23.143	0.064	g
60795.15101126157	23.071	0.06	g
60795.15200436342	22.967	0.055	g
60795.15347065972	23.058	0.065	g
60795.1544653588	23.041	0.055	g
60795.155931458336	23.081	0.06	g
60795.15693766204	22.942	0.06	g
60797.022357361115	22.299	0.064	i
60797.02332706018	22.297	0.06	i
60797.024786458336	22.308	0.075	i
60797.028225358794	22.265	0.069	i
60797.02966876158	22.385	0.066	i
60797.03063516204	22.378	0.062	i
60797.03208005787	22.333	0.063	i
60797.033068854165	22.413	0.058	i
