mjd	mag	rmsmag	band
60797.13096675926	23.444	0.098	g
60797.13144895833	23.358	0.082	g
60797.132505960646	23.594	0.119	g
60797.13347255787	23.48	0.1	g
60798.01056255787	22.967	0.193	i
60798.01105165509	23.109	0.194	i
60798.01153016204	22.684	0.144	i
60798.01202335648	22.997	0.187	i
60798.01299456019	23.059	0.196	i
60798.013494756946	23.167	0.219	i
60798.01398425926	23.038	0.196	i
60798.014469155096	22.925	0.177	i
60798.01496635417	23.083	0.212	i
60798.01544466435	22.815	0.154	i
60798.016410462966	23.0	0.2	i
60798.01691505787	22.872	0.169	i
60798.01839016204	22.969	0.183	i
60798.0198665625	22.931	0.171	i
60798.02083716435	22.917	0.154	i
60798.02335376157	22.933	0.181	i
60798.02528725695	22.898	0.172	i
60798.02673106481	22.876	0.181	i
60798.02768925926	22.837	0.176	i
60798.0296540625	23.012	0.206	i
60798.03013936343	23.084	0.21	i
60798.031131157404	22.616	0.152	i
60798.03262486111	22.865	0.178	i
60798.03406466435	22.75	0.163	i
60798.03502335648	23.008	0.178	i
60798.04046236111	23.066	0.13	r
60798.042705162035	23.35	0.179	r
60798.04319975695	23.188	0.165	r
60798.04419876157	23.439	0.183	r
60798.04468675926	23.23	0.158	r
60798.04564805556	23.118	0.132	r
60798.04664755787	23.421	0.155	r
60798.04712925926	23.17	0.132	r
60798.04810665509	22.967	0.13	r
60798.049075856485	23.186	0.143	r
60798.04955085648	22.798	0.109	r
60798.05003346065	23.231	0.156	r
60798.05151525463	23.054	0.135	r
60798.05297145833	22.983	0.126	r
60798.054425462964	23.505	0.202	r
60798.05548796296	23.054	0.152	r
60798.05645005787	23.002	0.131	r
60798.05696686343	23.215	0.148	r
60798.057937060184	23.135	0.144	r
60798.058896863426	23.039	0.118	r
60798.059389155096	23.339	0.181	r
60798.06035925926	23.027	0.132	r
60798.06135585648	23.214	0.143	r
60798.061836458335	23.157	0.136	r
60798.0637790625	22.997	0.131	r
60798.06426895833	23.076	0.145	r
60798.06475395834	22.92	0.114	r
60798.06621055555	23.21	0.152	r
60798.06865775463	22.973	0.128	r
60798.069139756946	23.139	0.156	r
60798.07020495371	23.107	0.159	r
60798.07117206018	23.048	0.136	r
60798.071650659724	23.191	0.148	r
60798.07261826389	23.362	0.192	r
60798.07358466435	23.238	0.162	r
60798.074073055555	23.238	0.166	r
60798.075049756946	23.127	0.137	r
60798.07601665509	23.134	0.136	r
60798.07649835648	23.377	0.193	r
60798.07746606482	23.134	0.169	r
60798.07845956019	23.39	0.18	r
60798.079423159725	23.421	0.187	r
60798.08188085648	23.195	0.133	r
60798.08237775463	23.113	0.14	r
60798.08335165509	23.051	0.132	r
60798.08383525463	23.069	0.128	r
60798.08489805555	22.924	0.119	r
60798.085868159724	23.148	0.144	r
60798.08634686343	23.341	0.166	r
60798.08730986111	23.237	0.142	r
60798.08827385417	23.497	0.182	r
60798.08972686343	23.001	0.108	r
60798.09070195602	23.215	0.127	r
60798.09117975694	23.109	0.125	r
60798.09263865741	23.095	0.13	r
60798.09311585648	23.041	0.109	r
60798.09359525463	22.9	0.109	r
60798.09408915509	23.293	0.154	r
60798.09508576389	23.121	0.139	r
60798.09556436342	22.911	0.11	r
60798.09652936343	23.014	0.123	r
60798.09700356481	23.154	0.146	r
60798.097968263886	23.037	0.117	r
60798.09844565972	23.121	0.136	r
60798.09950956018	23.09	0.123	r
60798.10407486111	23.644	0.144	g
60798.1050424537	23.622	0.137	g
60798.10649486111	23.543	0.127	g
60798.107463657405	23.447	0.114	g
60798.10793805555	23.464	0.117	g
60798.108903761575	23.511	0.129	g
60798.109881261575	23.434	0.12	g
60798.111828761575	23.44	0.12	g
60798.1123115625	23.431	0.121	g
60798.112796354166	23.762	0.174	g
60798.11426635417	23.628	0.157	g
60798.114749953704	23.713	0.169	g
60798.11572255787	23.602	0.163	g
60798.11620856482	23.388	0.124	g
60798.11717415509	23.616	0.148	g
60798.117654953705	23.523	0.149	g
60798.11870555556	23.691	0.159	g
60798.119673263885	23.424	0.116	g
60798.12016445602	23.595	0.132	g
60798.12114415509	23.519	0.129	g
60798.12211305556	23.682	0.155	g
60798.12259716435	23.479	0.116	g
60798.12357675926	23.608	0.143	g
60798.12504675926	23.677	0.152	g
60798.12604275463	23.641	0.204	g
60798.12653505787	23.44	0.135	g
60798.12702335648	23.62	0.179	g
60798.127994560185	23.296	0.119	g
60798.128992060185	23.561	0.135	g
60798.12946826389	23.641	0.139	g
60798.130462256944	23.717	0.174	g
60798.13191865741	23.565	0.122	g
60798.13240675926	23.447	0.117	g
60798.13347206019	23.581	0.134	g
60798.134443055555	23.731	0.154	g
60798.134933263886	23.471	0.119	g
60799.02994986111	22.886	0.128	i
60799.03095555556	22.756	0.114	i
60799.03143986111	22.827	0.126	i
60799.0324090625	23.049	0.175	i
60799.032896157405	23.255	0.179	i
60799.03388516204	22.859	0.12	i
60799.03440755787	22.963	0.16	i
60799.03588645833	23.055	0.144	i
60799.037353761574	22.736	0.115	i
60799.038335763886	22.874	0.13	i
60799.03884606482	22.705	0.119	i
60799.083993657405	23.088	0.089	r
60799.085495162035	22.986	0.084	r
60799.08645275463	23.051	0.095	r
60799.08746826389	23.264	0.158	r
60799.08891106481	23.103	0.102	r
60799.08988535879	22.985	0.087	r
60799.090375659725	22.983	0.102	r
60799.091341354164	23.127	0.104	r
60799.092355960645	22.957	0.084	r
60799.092836655094	23.073	0.104	r
60799.09334245371	22.905	0.107	r
60799.09434145833	22.982	0.096	r
60799.09482096065	22.856	0.085	r
60799.09583436343	22.92	0.091	r
60799.09634415509	22.907	0.085	r
60799.0973028588	23.058	0.107	r
60799.09779126157	23.065	0.093	r
60799.098870856484	23.194	0.119	r
60799.09988065972	23.074	0.116	r
60799.100400358795	23.077	0.107	r
60799.101367256946	23.183	0.105	r
60799.102375462964	22.958	0.121	r
60799.102889664355	23.067	0.111	r
60799.103849259256	22.957	0.092	r
60799.10482486111	23.031	0.094	r
60799.105318263886	23.024	0.101	r
60799.106282256944	23.157	0.116	r
60799.10676486111	23.053	0.1	r
60799.107274664355	23.163	0.108	r
60799.10775186343	23.017	0.104	r
60799.10823016203	23.049	0.108	r
60799.1091999537	23.072	0.114	r
60799.10968055556	23.057	0.094	r
60799.11064346065	23.275	0.119	r
60799.11111615741	23.184	0.099	r
60799.112077060185	23.127	0.113	r
60799.11254835648	23.06	0.091	r
60799.11361826389	23.199	0.113	r
60799.114615162034	23.087	0.113	r
60799.11512106482	23.09	0.095	r
60799.116083657405	23.098	0.099	r
60799.11704016204	23.057	0.104	r
60799.117556655096	23.189	0.105	r
60799.118527453706	23.237	0.108	r
60799.11948596065	23.1	0.091	r
60799.11996665509	23.238	0.098	r
60799.12290326389	22.921	0.09	r
60799.123873958335	23.131	0.102	r
60799.12434456019	23.15	0.094	r
60799.12533596065	23.139	0.111	r
60799.125807662036	23.267	0.129	r
60799.127292164354	23.199	0.116	r
60799.12986915509	23.403	0.115	r
60799.130825555556	23.154	0.091	r
60799.13183106481	23.087	0.094	r
60799.13327326389	23.167	0.092	r
60799.134261354164	23.138	0.093	r
60799.13474085648	23.226	0.096	r
60799.13571986111	23.129	0.106	r
60799.13620995371	23.353	0.127	r
60799.13767675926	23.156	0.105	r
60799.14335815972	23.547	0.118	g
60799.14432076389	23.696	0.124	g
60799.14531025463	23.666	0.121	g
60799.14579055556	23.617	0.125	g
60799.14676686343	23.732	0.126	g
60799.147740960645	23.719	0.115	g
60799.148215960646	23.711	0.11	g
60799.14965525463	23.865	0.146	g
60799.1501324537	23.803	0.117	g
60799.150643761575	23.908	0.149	g
60799.15112516204	23.777	0.128	g
60799.1526240625	23.931	0.16	g
60799.15362065972	23.926	0.172	g
60799.1540965625	23.474	0.104	g
