mjd	mag	rmsmag	band
60790.11731216435	23.241	0.131	r
60790.118846157406	23.07	0.126	r
60790.1198728588	23.126	0.159	r
60790.12139645834	23.034	0.151	r
60790.122444155095	23.327	0.197	r
60790.12398135417	23.155	0.139	r
60790.13875005787	23.846	0.153	g
60790.14126815972	23.468	0.096	g
60790.17847115741	23.598	0.112	g
60793.1355990625	23.896	0.137	g
60793.137054363426	24.058	0.166	g
60793.139491354166	23.828	0.137	g
60793.14047425926	23.766	0.14	g
60793.14193525463	23.702	0.114	g
60793.18356665509	23.117	0.109	r
60793.18501516204	23.225	0.105	r
60793.187517858794	23.097	0.109	r
60793.19100565972	23.238	0.122	r
60793.19200236111	23.215	0.125	r
60793.19832956018	23.888	0.188	g
60793.199321458334	23.988	0.185	g
60793.20083395833	24.118	0.19	g
60793.201834155094	23.563	0.12	g
60793.20333736111	23.987	0.184	g
60793.2043240625	24.105	0.208	g
60793.20585346065	24.122	0.211	g
60795.03011165509	23.351	0.153	r
60795.031108958334	22.905	0.086	r
60795.03599975695	23.316	0.114	r
60795.06772796296	23.268	0.103	r
60795.06925565972	23.223	0.109	r
60795.07023085648	23.305	0.123	r
60795.07172695602	23.256	0.105	r
60795.07269936342	23.291	0.108	r
60797.0271990625	23.517	0.184	i
60797.03208005787	23.461	0.183	i
60797.034531655096	23.388	0.144	i
60797.03705585648	23.15	0.127	i
60797.038033460645	23.332	0.145	i
60797.039471261574	23.083	0.127	i
60797.040427858796	23.236	0.165	i
60797.04189255787	23.261	0.133	i
60797.0453449537	23.131	0.117	i
60797.04677826389	23.071	0.131	i
60797.0552353588	22.986	0.087	r
60797.05667326389	23.134	0.088	r
60797.05763766204	23.249	0.108	r
60797.05911865741	23.084	0.088	r
60797.06007535879	23.125	0.092	r
60797.06153175926	22.983	0.075	r
60797.06491126157	22.907	0.083	r
60797.06635175926	23.237	0.096	r
60797.068792858794	23.289	0.134	r
60797.06984195602	23.184	0.097	r
60797.07128576389	23.124	0.087	r
60797.0722424537	23.122	0.089	r
60797.07368966435	23.144	0.097	r
60797.07465025463	23.31	0.114	r
60797.07610505787	23.279	0.098	r
60797.07955865741	23.028	0.084	r
60797.08101275463	23.162	0.093	r
60797.08200335648	23.173	0.098	r
60797.08344966435	23.064	0.083	r
60797.08450626158	23.286	0.106	r
60797.08913925926	23.874	0.126	g
60797.09057775463	23.782	0.133	g
60797.09153856481	24.023	0.155	g
60797.09297585648	23.85	0.139	g
60797.09394315972	23.825	0.13	g
60797.09538766204	23.92	0.144	g
60797.10022266204	23.883	0.115	g
60797.10265266203	24.086	0.183	g
60797.10369606481	23.969	0.161	g
60797.10514255787	23.803	0.128	g
60797.10756266204	24.111	0.179	g
60797.10852475694	24.091	0.17	g
60797.11337576389	24.169	0.176	g
60797.114815057874	24.36	0.204	g
60797.11577425926	24.071	0.158	g
60797.11973456018	24.266	0.201	g
60797.120706354166	24.376	0.208	g
60798.04094195602	23.28	0.172	r
60798.043686655095	23.157	0.172	r
60798.047616261574	23.422	0.211	r
60798.051033564814	23.289	0.201	r
60798.05596936343	23.202	0.173	r
60798.05744766204	23.216	0.165	r
60798.05841686342	23.207	0.176	r
60798.05987725694	23.104	0.157	r
60798.06572716435	23.26	0.166	r
60798.067169155096	22.999	0.152	r
60798.070691354165	22.899	0.144	r
60798.07213695602	23.028	0.133	r
60798.07309975695	23.261	0.203	r
60798.074559155095	22.913	0.132	r
60798.07553296296	22.866	0.136	r
60798.076976655095	22.995	0.148	r
60798.0804265625	23.323	0.189	r
60798.08188085648	23.295	0.171	r
60798.08538956018	23.113	0.154	r
60798.08682986111	23.084	0.141	r
60798.08779326389	23.311	0.167	r
60798.089243055554	23.23	0.173	r
60798.09652936343	23.175	0.154	r
60798.09749425926	23.229	0.171	r
60798.09893606482	23.146	0.162	r
60798.09998466435	23.298	0.172	r
60798.10697975694	23.794	0.185	g
60798.11426635417	23.414	0.136	g
60799.03686565972	23.411	0.207	i
60799.03936796296	22.982	0.145	i
60799.08446626157	23.221	0.122	r
60799.085976863425	23.506	0.142	r
60799.08695305556	23.148	0.128	r
60799.08843145833	23.201	0.113	r
60799.09085936342	23.024	0.127	r
60799.09434145833	23.233	0.129	r
60799.09583436343	23.276	0.126	r
60799.0968278588	23.348	0.168	r
60799.09828436343	23.145	0.112	r
60799.099358761574	23.172	0.123	r
60799.10088755787	23.306	0.122	r
60799.101856458336	23.309	0.152	r
60799.1033765625	23.142	0.108	r
60799.104338564815	23.324	0.131	r
60799.10580626158	23.126	0.135	r
60799.1091999537	23.374	0.154	r
60799.11064346065	23.502	0.138	r
60799.11303956019	23.289	0.124	r
60799.114106354165	23.314	0.127	r
60799.11560005787	23.269	0.117	r
60799.11804055556	23.28	0.122	r
60799.120443761574	23.444	0.134	r
60799.123873958335	23.488	0.139	r
60799.12533596065	23.475	0.146	r
60799.12884745371	23.583	0.161	r
60799.13034956018	23.767	0.174	r
60799.131317962965	23.703	0.168	r
60799.13374925926	23.626	0.156	r
60799.13523115741	23.742	0.182	r
60799.147246458335	24.226	0.209	g
60799.154579155096	24.314	0.212	g
