mjd	mag	rmsmag	band
60798.06426895833	23.383	0.181	r
60798.074073055555	23.315	0.169	r
60798.07845956019	23.588	0.208	r
60798.08634686343	23.563	0.204	r
60798.08730986111	23.581	0.186	r
60798.08827385417	23.62	0.218	r
60798.088755763885	23.368	0.161	r
60798.08972686343	23.461	0.161	r
60798.09070195602	23.541	0.186	r
60798.09311585648	23.537	0.17	r
60798.09359525463	23.635	0.207	r
60798.09556436342	23.35	0.158	r
60798.097968263886	23.655	0.21	r
60798.09844565972	23.359	0.159	r
60798.09950956018	23.468	0.169	r
60798.10407486111	24.039	0.197	g
60798.1050424537	23.85	0.186	g
60798.108903761575	23.965	0.195	g
60798.113781354165	23.786	0.192	g
60798.11620856482	23.641	0.153	g
60798.117654953705	24.037	0.214	g
60798.119673263885	23.874	0.198	g
60798.12016445602	23.976	0.178	g
60798.12114415509	23.809	0.168	g
60798.12259716435	24.153	0.213	g
60798.12357675926	23.994	0.198	g
60798.12504675926	23.868	0.175	g
60798.12850046296	23.695	0.176	g
60798.13093535879	23.941	0.182	g
60798.13191865741	24.031	0.199	g
60798.134933263886	24.045	0.198	g
60799.0324090625	23.225	0.197	i
60799.03339486111	23.424	0.212	i
60799.03488716435	23.157	0.153	i
60799.03588645833	23.468	0.21	i
60799.083993657405	23.253	0.106	r
60799.08498846065	23.508	0.147	r
60799.085495162035	23.52	0.135	r
60799.08645275463	23.35	0.129	r
60799.08746826389	23.48	0.201	r
60799.087946458334	23.229	0.134	r
60799.08891106481	23.5	0.155	r
60799.08988535879	23.458	0.138	r
60799.090375659725	23.435	0.159	r
60799.091341354164	23.415	0.126	r
60799.092355960645	23.607	0.159	r
60799.092836655094	23.509	0.149	r
60799.09383925926	23.429	0.144	r
60799.09482096065	23.327	0.125	r
60799.09533966435	23.448	0.149	r
60799.09779126157	23.519	0.137	r
60799.09988065972	23.653	0.215	r
60799.100400358795	23.527	0.158	r
60799.101367256946	23.683	0.164	r
60799.102375462964	23.178	0.149	r
60799.102889664355	23.097	0.119	r
60799.103849259256	23.678	0.177	r
60799.10482486111	23.295	0.127	r
60799.105318263886	23.333	0.14	r
60799.106282256944	23.469	0.145	r
60799.10775186343	23.358	0.13	r
60799.10871606482	23.28	0.127	r
60799.10968055556	23.542	0.136	r
60799.110164363425	23.549	0.148	r
60799.11111615741	23.226	0.101	r
60799.112077060185	23.128	0.118	r
60799.11254835648	23.464	0.136	r
60799.11361826389	23.378	0.121	r
60799.114615162034	23.371	0.168	r
60799.11512106482	23.694	0.166	r
60799.116083657405	23.316	0.118	r
60799.11704016204	23.228	0.13	r
60799.117556655096	23.517	0.153	r
60799.11948596065	23.481	0.145	r
60799.11996665509	23.487	0.123	r
60799.120927662036	23.651	0.142	r
60799.12192055555	23.522	0.154	r
60799.12241456019	23.228	0.112	r
60799.12339356481	23.423	0.126	r
60799.12434456019	23.381	0.119	r
60799.12485115741	23.355	0.115	r
60799.125807662036	23.572	0.176	r
60799.126800555554	23.39	0.138	r
60799.127292164354	23.378	0.13	r
60799.12835706019	23.358	0.112	r
60799.12935815972	23.471	0.158	r
60799.12986915509	23.496	0.132	r
60799.130825555556	23.651	0.145	r
60799.13183106481	23.323	0.12	r
60799.13231626157	23.396	0.116	r
60799.13327326389	23.698	0.147	r
60799.134261354164	23.586	0.153	r
60799.13474085648	23.349	0.113	r
60799.13571986111	23.505	0.126	r
60799.13671986111	23.358	0.113	r
60799.13719736111	23.339	0.106	r
60799.138160462964	23.19	0.099	r
60799.14432076389	23.866	0.142	g
60799.14579055556	23.878	0.153	g
60799.14676686343	24.24	0.197	g
60799.147740960645	23.881	0.147	g
60799.148215960646	23.876	0.13	g
60799.14917466435	23.897	0.138	g
60799.1501324537	23.992	0.146	g
60799.150643761575	24.075	0.155	g
60799.151614664355	23.997	0.166	g
60799.1526240625	23.864	0.146	g
60799.15313716435	23.889	0.13	g
60799.1540965625	24.003	0.153	g
60799.15506175926	24.018	0.204	g
60799.15662165509	24.063	0.16	g
