mjd	mag	rmsmag	band
60799.1091999537	23.05	0.109	r
60799.11064346065	23.154	0.104	r
60799.11159645834	23.289	0.117	r
60799.11303956019	23.496	0.136	r
60799.114106354165	23.372	0.135	r
60799.114615162034	23.393	0.136	r
60799.11560005787	23.313	0.116	r
60799.116566157405	23.299	0.112	r
60799.119009953705	23.335	0.114	r
60799.11948596065	23.253	0.112	r
60799.120443761574	23.25	0.106	r
60799.12141126157	23.448	0.13	r
60799.123873958335	23.224	0.11	r
60799.12628826389	23.211	0.146	r
60799.12778365741	23.424	0.13	r
60799.12884745371	23.663	0.198	r
60799.13034956018	23.457	0.125	r
60799.131317962965	23.255	0.103	r
60799.132796157406	23.388	0.115	r
60799.13374925926	23.326	0.11	r
60799.134261354164	23.461	0.132	r
60799.13523115741	23.331	0.119	r
60799.13620995371	23.299	0.114	r
60799.1428590625	23.497	0.159	g
60799.14627415509	23.623	0.12	g
60799.147246458335	24.125	0.182	g
60799.147740960645	24.038	0.169	g
60799.14965525463	23.836	0.128	g
60799.15112516204	24.057	0.146	g
