mjd	mag	rmsmag	band
60797.07513615741	23.831	0.153	r
60797.075621157404	23.766	0.145	r
60797.076608958334	23.841	0.141	r
60797.07760085648	23.753	0.143	r
60797.08003706019	23.581	0.126	r
60797.082482060185	23.843	0.152	r
60797.08402585648	23.801	0.172	r
60797.09009395833	24.149	0.153	g
60797.091053854165	24.446	0.213	g
60797.09201576389	24.382	0.187	g
60797.092498460646	24.223	0.168	g
60797.093455462964	24.321	0.181	g
60797.09442395833	24.25	0.185	g
60797.0949015625	23.912	0.136	g
60797.09683826389	24.191	0.158	g
60797.097315555555	24.204	0.171	g
60797.09926296296	24.418	0.196	g
60797.099738854165	24.502	0.207	g
60797.10071115741	24.475	0.186	g
60797.101671261575	24.232	0.164	g
60797.102168460646	24.382	0.172	g
60797.10321956019	24.141	0.189	g
60797.10465436343	24.27	0.174	g
60797.10707456018	24.466	0.21	g
60797.10804425926	24.041	0.161	g
60797.10948665509	24.154	0.179	g
60797.11045716435	24.188	0.168	g
60797.11142436343	23.914	0.118	g
60797.111904756945	24.426	0.204	g
60797.11289425926	24.259	0.179	g
60797.11625346065	24.146	0.156	g
60797.11924275463	24.282	0.206	g
60797.12022145833	24.258	0.181	g
60797.12167315972	24.413	0.169	g
60797.12264466435	24.272	0.159	g
60797.123610462964	24.317	0.187	g
60797.12409755787	24.059	0.18	g
60797.12655335648	24.199	0.169	g
60797.128516655095	24.338	0.185	g
60797.12900046296	23.981	0.173	g
60797.129973854164	24.251	0.213	g
60797.132505960646	24.109	0.181	g
60797.13347255787	24.185	0.206	g
60798.014469155096	23.186	0.216	i
60798.015929664354	23.134	0.21	i
60798.016410462966	23.089	0.209	i
60798.04468675926	23.462	0.192	r
60798.04564805556	23.674	0.212	r
60798.04712925926	23.514	0.177	r
60798.04810665509	23.566	0.213	r
60798.05548796296	23.307	0.173	r
60798.05696686343	23.656	0.211	r
60798.0637790625	23.358	0.176	r
60798.06865775463	23.503	0.211	r
60798.07358466435	23.442	0.192	r
60798.075049756946	23.49	0.18	r
60798.080912060184	23.392	0.151	r
60798.08335165509	23.379	0.176	r
60798.08383525463	23.717	0.222	r
60798.08489805555	23.372	0.166	r
60798.08634686343	23.663	0.218	r
60798.08827385417	23.652	0.21	r
60798.088755763885	23.626	0.2	r
60798.09070195602	23.486	0.158	r
60798.09604236111	23.463	0.204	r
60798.09844565972	23.604	0.198	r
60798.09950956018	23.735	0.212	r
60798.110360659724	23.917	0.18	g
60798.11717415509	23.644	0.153	g
60798.12454546296	23.842	0.185	g
60798.12504675926	24.092	0.215	g
60798.13240675926	23.972	0.181	g
60799.0284990625	23.48	0.197	i
60799.03095555556	23.462	0.217	i
60799.03388516204	23.386	0.184	i
60799.038335763886	23.156	0.166	i
60799.083993657405	23.776	0.166	r
60799.08498846065	23.775	0.184	r
60799.085495162035	23.886	0.19	r
60799.08645275463	23.649	0.171	r
60799.08891106481	23.811	0.197	r
60799.08988535879	23.645	0.168	r
60799.092836655094	23.897	0.208	r
60799.09482096065	23.87	0.209	r
60799.09533966435	23.72	0.216	r
60799.09634415509	23.74	0.175	r
60799.09779126157	23.558	0.141	r
60799.100400358795	23.535	0.162	r
60799.102889664355	23.588	0.174	r
60799.103849259256	23.693	0.171	r
60799.10482486111	23.651	0.166	r
60799.106282256944	23.663	0.172	r
60799.107274664355	23.662	0.17	r
60799.10968055556	23.835	0.183	r
60799.110164363425	23.697	0.178	r
60799.11111615741	23.622	0.144	r
60799.11254835648	23.539	0.138	r
60799.11361826389	23.781	0.174	r
60799.11512106482	23.914	0.197	r
60799.116083657405	23.757	0.176	r
60799.117556655096	23.864	0.194	r
60799.118527453706	23.793	0.171	r
60799.11948596065	23.734	0.168	r
60799.120927662036	23.688	0.146	r
60799.12192055555	23.853	0.199	r
60799.12241456019	23.722	0.168	r
60799.12434456019	23.634	0.149	r
60799.125807662036	23.513	0.161	r
60799.126800555554	23.843	0.196	r
60799.127292164354	23.642	0.17	r
60799.12835706019	23.772	0.16	r
60799.130825555556	23.553	0.133	r
60799.13231626157	23.76	0.159	r
60799.134261354164	23.709	0.162	r
60799.13474085648	24.032	0.205	r
60799.13671986111	23.556	0.133	r
60799.13719736111	23.569	0.129	r
60799.14432076389	24.045	0.168	g
60799.14579055556	24.059	0.181	g
60799.14676686343	24.326	0.209	g
60799.147740960645	24.211	0.185	g
60799.148215960646	24.339	0.191	g
60799.14917466435	24.153	0.173	g
60799.1501324537	24.152	0.162	g
60799.151614664355	23.956	0.163	g
