mjd	mag_val	mag_band
60790.148003125	23.77	g
60793.13803112268	23.72	g
60793.14193511574	23.63	g
60793.20231912037	23.87	g
60790.141268125	24.11	g
60795.14708112268	24.30	g
60795.14954511574	24.21	g
60793.13608711806	23.80	g
60793.13705412037	24.04	g
60793.20183412037	23.65	g
60790.138750115744	24.11	g
60797.11481511574	23.91	g
60790.17742011574	23.77	g
60790.14024112269	24.10	g
60795.150031122685	24.41	g
60795.15494912037	23.90	g
60797.12851711806	24.24	g
60790.136678125	23.93	g
60793.144401122685	23.90	g
60797.100223125	24.18	g
60797.098783125	24.41	g
60790.17847112269	23.91	g
60797.133473125	23.98	g
60798.115723125	23.86	g
60795.15200412037	24.22	g
60797.099263125	24.03	g
60790.13771511574	24.25	g
60795.15248912037	24.05	g
60798.119673125	23.60	g
60797.11337612269	24.05	g
60793.19731711806	23.94	g
60793.14341912037	23.84	g
60795.14756612269	24.21	g
60793.19833011574	23.91	g
60793.20333711806	24.13	g
60793.20432412037	23.99	g
60795.153471122685	24.20	g
60795.15101112268	24.14	g
60795.15742011574	24.24	g
60798.11475011574	23.74	g
60793.19982011574	23.94	g
60797.10417612269	24.09	g
60790.136170115744	23.89	g
60797.08961412037	24.30	g
60793.14095511574	23.86	g
60793.14047412037	23.78	g
60793.205853125	24.05	g
60793.13559912037	24.31	g
60797.12949511574	24.17	g
60797.12804011574	24.05	g
60787.115488125	22.95	i
60797.046778125	23.43	i
60787.11233011574	23.09	i
60787.12431612269	23.02	i
60790.180868125	23.35	i
60790.190611122685	23.01	i
60797.03208011574	23.29	i
60797.045823125	23.62	i
60790.18905011574	23.20	i
60790.186421122686	22.88	i
60790.187974120374	22.94	i
60787.12687511574	22.97	i
60790.18956112269	22.93	i
60787.127381122686	22.74	i
60787.11130912037	22.88	i
60787.11028912037	23.12	i
60787.129923125	23.02	i
60790.185328125	22.90	i
60799.02601612268	23.19	i
60790.18428112268	22.86	i
60787.11497912037	23.08	i
60787.13247412037	23.03	i
60787.117527118055	22.82	i
60787.133543125	23.11	i
60787.112947118054	22.88	i
60787.11395912037	23.22	i
60797.02380711806	23.11	i
60787.13196511574	22.72	i
60787.11915511574	23.07	i
60797.03063511574	23.24	i
60787.124828125	22.74	i
60787.12941412037	23.07	i
60797.04534511574	23.55	i
60797.03608711805	23.12	i
60787.11650912037	22.90	i
60787.12839912037	23.03	i
60797.08003711805	23.36	r
60799.125336122685	23.47	r
60797.066352118054	23.73	r
60798.05645011574	22.94	r
60798.081881122685	23.50	r
60790.117312118055	23.34	r
60795.073216122684	23.53	r
60799.12387412037	23.46	r
60793.18652511574	23.35	r
60799.10968112268	23.54	r
60799.084988125	23.35	r
60795.070718125	23.64	r
60797.07955912037	23.68	r
60793.184043125	23.28	r
60790.119873125	23.30	r
60793.18501511574	23.20	r
60798.08042711805	23.41	r
60797.07272412037	23.72	r
60790.13220612268	23.13	r
60799.11461511574	23.49	r
60799.09434112268	23.40	r
60798.09652912037	23.16	r
60790.118846122685	23.28	r
60798.05248511574	23.31	r
60799.110643125	23.61	r
60797.06538412037	23.36	r
60797.07032011574	23.31	r
60795.10219412037	23.31	r
60790.11781912037	23.50	r
60793.18356711805	23.41	r
60793.192002118056	23.36	r
60790.13375112269	23.35	r
60790.12139612268	23.44	r
60795.07269912037	23.34	r
60797.081013125	23.64	r
60797.05571412037	23.34	r
60790.123981122684	23.11	r
60798.05151511574	23.24	r
60797.06491112269	23.85	r
60798.09508612269	23.32	r
60790.132723125	23.35	r
60795.06824412037	23.29	r
60793.19100612269	23.36	r
60790.12295511574	23.21	r
60799.094821122686	23.51	r
