mjd	phase angle	mag	rmsmag	band
60797.021351655094	18.934712690251104	23.542	0.217	i
60797.02380675926	18.935962136874302	23.564	0.199	i
60797.02622675926	18.937249204206505	23.45	0.183	i
60797.02671626157	18.937574131316794	23.373	0.145	i
60797.03354505787	18.941238476384235	23.785	0.185	i
60797.034055358796	18.941507497575884	23.743	0.176	i
60797.039948564816	18.94469776680637	23.502	0.183	i
60797.04140956019	18.9454819828967	23.595	0.194	i
60797.04335706018	18.94652175557014	23.666	0.187	i
60797.04725445602	18.948615612866515	23.589	0.186	i
60797.05030326389	18.95026730903085	23.691	0.188	i
60797.055713657406	18.95319670336405	23.766	0.176	r
60797.05811815972	18.954500258316536	23.65	0.159	r
60797.058633657405	18.954714999477805	24.001	0.222	r
60797.05959505787	18.955268467507402	23.754	0.152	r
60797.060553564814	18.955790124417476	23.667	0.129	r
60797.061048159725	18.95607094417707	24.022	0.18	r
60797.06298335648	18.957113300290604	23.611	0.113	r
60797.068297858794	18.959961552699244	23.664	0.135	r
60797.0703203588	18.96107666778806	23.522	0.146	r
60797.072723958336	18.96236497325341	23.778	0.167	r
60797.07416415509	18.96313225896526	23.563	0.142	r
60797.07513615741	18.96364737264126	23.996	0.18	r
60797.07760085648	18.964984375980265	23.628	0.131	r
60797.082482060185	18.967600705665355	23.729	0.143	r
60797.08296266204	18.9678650296935	23.545	0.14	r
60797.08961436342	18.971465718118232	24.161	0.181	g
60797.09009395833	18.971709424136137	23.76	0.128	g
60797.09201576389	18.97274735615222	24.061	0.146	g
60797.093455462964	18.973515260337688	24.289	0.2	g
60797.09442395833	18.974076152682215	24.089	0.158	g
60797.0949015625	18.974302874587075	24.028	0.16	g
60797.10071115741	18.977372941637313	24.252	0.176	g
60797.101671261575	18.977967750570066	24.215	0.166	g
60797.10465436343	18.979568059871564	24.205	0.198	g
60797.10659076389	18.980632813007208	23.971	0.152	g
60797.10707456018	18.98088015352176	24.06	0.166	g
60797.10804425926	18.981419445607198	23.849	0.152	g
60797.10948665509	18.98217411931482	24.027	0.171	g
60797.11094186342	18.98293804164118	24.152	0.181	g
60797.11142436343	18.983213459014397	24.14	0.157	g
60797.115291458336	18.98526877895389	24.318	0.213	g
60797.11674175926	18.986069033052814	23.896	0.151	g
60797.11924275463	18.987396750913184	23.743	0.148	g
60797.12022145833	18.98794821672195	24.056	0.175	g
60797.12167315972	18.988712123387106	24.127	0.142	g
60797.12264466435	18.989239918805392	24.254	0.171	g
60797.12558305555	18.990801182877384	24.078	0.207	g
60797.126062662035	18.99110089943745	23.941	0.147	g
60797.129973854164	18.99317849423243	24.128	0.213	g
60797.13144895833	18.994005702590194	23.91	0.142	g
60798.04419876157	19.482094157533467	22.979	0.125	r
60798.04468675926	19.482392412219532	23.38	0.206	r
60798.04564805556	19.482894003687328	23.493	0.207	r
60798.04664755787	19.483419918192745	23.485	0.161	r
60798.04712925926	19.483704646538122	23.422	0.171	r
60798.053933854164	19.48734293557882	23.317	0.178	r
60798.05696686343	19.488979489719416	23.433	0.192	r
60798.058896863426	19.49000567468686	23.456	0.18	r
60798.06135585648	19.49131232366371	23.382	0.166	r
60798.0637790625	19.492590473581625	23.406	0.183	r
60798.07117206018	19.496621420965838	23.225	0.169	r
60798.07358466435	19.497890648444862	23.388	0.187	r
60798.074073055555	19.49809916974947	23.445	0.206	r
60798.07601665509	19.499194595340352	23.545	0.197	r
60798.085868159724	19.50446466266021	23.231	0.154	r
60798.088755763885	19.506052509127777	23.518	0.198	r
60798.08972686343	19.5065274859411	23.368	0.163	r
60798.09070195602	19.507011624666173	23.503	0.16	r
60798.09263865741	19.50807507418733	23.331	0.161	r
60798.09311585648	19.508358619013624	23.54	0.169	r
60798.09700356481	19.510426500757383	23.533	0.216	r
60798.09844565972	19.511213766908014	23.6	0.21	r
60798.107463657405	19.516021236061917	24.053	0.199	g
60798.111828761575	19.51833446030708	24.051	0.218	g
60798.11717415509	19.521218134224455	23.888	0.18	g
60798.117654953705	19.521503455238292	23.794	0.196	g
60798.12016445602	19.522849752839953	23.722	0.165	g
60798.12259716435	19.52415317322574	23.985	0.187	g
60798.12357675926	19.52463638865108	23.84	0.18	g
60798.12504675926	19.52550355437637	23.925	0.197	g
60798.13093535879	19.52857756092056	23.899	0.185	g
60798.13191865741	19.529157839796895	24.008	0.187	g
60798.13240675926	19.529442909723652	23.928	0.194	g
60798.13592516204	19.53131882832235	23.666	0.174	g
60799.02601576389	20.004821480980663	23.294	0.196	i
60799.02652025463	20.005083019515475	23.367	0.201	i
60799.02752945602	20.00562246460774	23.447	0.207	i
60799.03143986111	20.007686672247186	23.343	0.211	i
60799.03339486111	20.00874925906734	23.299	0.171	i
60799.038335763886	20.011342464643526	23.297	0.19	i
60799.08498846065	20.036236474818747	23.665	0.168	r
60799.087946458334	20.03784962113044	23.615	0.182	r
60799.08891106481	20.038381747278386	23.736	0.201	r
60799.08988535879	20.038881744836267	23.485	0.143	r
60799.09183615741	20.03991308478443	23.628	0.191	r
60799.092355960645	20.040223543950372	23.721	0.17	r
60799.0973028588	20.0428446921037	23.518	0.16	r
60799.09779126157	20.04310436290018	23.622	0.163	r
60799.100400358795	20.044488001151716	23.655	0.198	r
60799.103849259256	20.046317378355408	23.758	0.211	r
60799.10482486111	20.0468339929773	23.946	0.211	r
60799.107274664355	20.04815287496272	23.764	0.185	r
60799.11111615741	20.050208825297123	23.596	0.156	r
60799.112077060185	20.05070512608169	23.525	0.16	r
60799.11254835648	20.050964889159278	23.546	0.149	r
60799.11361826389	20.051576249636987	23.54	0.179	r
60799.11512106482	20.05233431999457	23.615	0.162	r
60799.116083657405	20.0528485485129	23.629	0.174	r
60799.11704016204	20.053360980634928	23.32	0.131	r
60799.117556655096	20.053624381076816	23.618	0.164	r
60799.11948596065	20.05466139347879	23.814	0.173	r
60799.11996665509	20.054919794782982	23.805	0.17	r
60799.12192055555	20.05599202306801	23.604	0.153	r
60799.12241456019	20.05626237712035	23.79	0.193	r
60799.126800555554	20.05855890601822	23.746	0.174	r
60799.127292164354	20.058823733660752	23.652	0.184	r
60799.12835706019	20.059427234866263	23.536	0.155	r
60799.12986915509	20.060193784948154	23.604	0.149	r
60799.130825555556	20.06070094554501	23.492	0.134	r
60799.13183106481	20.061266183417004	23.5	0.13	r
60799.13231626157	20.061511555521477	23.69	0.167	r
60799.13327326389	20.062021613687826	23.778	0.17	r
60799.134261354164	20.062545383983977	23.654	0.146	r
60799.13474085648	20.06279963719362	23.722	0.154	r
60799.13620995371	20.063556102524224	23.578	0.153	r
60799.13671986111	20.06387154876398	23.773	0.153	r
60799.13719736111	20.06411810562822	23.682	0.171	r
60799.14335815972	20.067398599390707	23.7	0.158	g
60799.14579055556	20.068703215047805	24.044	0.206	g
60799.14676686343	20.069179349285267	24.13	0.192	g
60799.147740960645	20.069703159302748	24.358	0.212	g
60799.148215960646	20.069967593883064	23.995	0.15	g
60799.14965525463	20.070758636864504	23.77	0.142	g
60799.1501324537	20.070997981401586	24.138	0.161	g
