mjd	phase angle	mag	rmsmag	band
60793.06081206018	18.22974302310732	23.076	0.162	i
60793.06181775463	18.230274563821787	23.044	0.168	i
60793.1360865625	18.269187149250886	23.216	0.076	g
60793.137054363426	18.26967827396028	23.119	0.077	g
60793.13851606481	18.270435235705918	23.171	0.073	g
60793.14047425926	18.271482298947852	23.191	0.087	g
60793.14095516204	18.271722440860593	23.223	0.074	g
60793.14193525463	18.272242675505748	23.234	0.085	g
60793.142930462964	18.272776865903335	23.246	0.077	g
60793.143418761574	18.27302386630744	23.217	0.072	g
60793.144401157406	18.273535521067625	23.144	0.08	g
60793.18356665509	18.294032854282168	22.654	0.075	r
60793.184043263886	18.294279396071467	22.586	0.065	r
60793.18501516204	18.29478824989852	22.647	0.067	r
60793.1865253588	18.29557875831048	22.532	0.062	r
60793.19100565972	18.297927640428234	22.486	0.063	r
60793.19200236111	18.298444369402333	22.574	0.069	r
60793.19300085648	18.298970895952777	22.641	0.064	r
60793.19351395834	18.299234796568783	22.48	0.059	r
60793.19449115741	18.299747610535533	22.397	0.058	r
60793.196798460645	18.300954098714385	22.996	0.064	g
60793.197317164355	18.3012260027473	22.963	0.06	g
60793.19832956018	18.301769847353782	22.952	0.063	g
60793.19981975694	18.3025312056449	22.907	0.06	g
60793.201834155094	18.30359374317613	22.896	0.06	g
60793.2023190625	18.3038480032317	22.961	0.059	g
60793.20333736111	18.304378869906756	22.879	0.066	g
60793.2043240625	18.30487797300506	22.995	0.066	g
60793.20484445602	18.305158441606007	22.917	0.06	g
60795.03160115741	19.251476539201068	22.671	0.071	r
60795.03208975695	19.25173801868727	22.702	0.071	r
60795.0340403588	19.25275484873734	22.675	0.084	r
60795.056069363425	19.264285249591172	22.715	0.058	r
60795.067234953705	19.270124083190098	22.608	0.06	r
60795.068243761576	19.270664165058264	22.648	0.065	r
60795.06876835648	19.270924172982756	22.726	0.063	r
60795.070718055555	19.27195669459674	22.646	0.063	r
60795.07123925926	19.272203456938325	22.669	0.064	r
60795.07370555556	19.27351867594621	22.762	0.073	r
60795.09254275463	19.28337542011305	22.773	0.067	r
60795.09771436342	19.286065074288032	22.66	0.06	r
60795.10119706018	19.28787061201236	23.171	0.193	r
60795.102194259256	19.288436565436072	22.743	0.082	r
60795.10270055556	19.288693639196964	22.722	0.08	r
60795.147565555555	19.312156872650732	23.156	0.067	g
60795.148054861114	19.31242919122791	23.175	0.06	g
60795.15003055555	19.31345219524456	23.035	0.052	g
60795.15297725694	19.3149860033286	23.079	0.066	g
60797.02038376158	20.27943179556808	22.377	0.105	i
60797.021838761575	20.28018894150604	22.274	0.064	i
60797.02284755787	20.28071301613513	22.389	0.068	i
60797.024286354164	20.28146318450142	22.252	0.06	i
60797.02526956019	20.281976544828233	22.223	0.058	i
60797.02671626157	20.28272592610539	22.328	0.058	i
60797.030152453706	20.284513927870666	22.291	0.055	i
60797.03111365741	20.285012762836818	22.36	0.054	i
60797.031588564816	20.28525693719901	22.449	0.062	i
60797.034055358796	20.286546280794962	22.382	0.053	i
60797.035119155094	20.287110598756303	22.338	0.063	i
60797.03608695602	20.287600302879184	22.355	0.076	i
60797.0365740625	20.287844035847773	22.414	0.063	i
60797.037545162035	20.288360406934817	22.426	0.067	i
60797.03899376158	20.28910481397222	22.28	0.059	i
60797.039948564816	20.289607691791165	22.462	0.071	i
60797.04335706018	20.291386477520234	22.44	0.063	i
60797.0448578588	20.292173101548354	22.405	0.057	i
60797.04582275463	20.292664231136566	22.371	0.057	i
60797.04629665509	20.292916092559828	22.314	0.055	i
60797.04725445602	20.293415444854567	22.386	0.065	i
60797.05078275463	20.29525676542952	22.411	0.061	i
60797.05475565972	20.29731269383158	22.625	0.056	r
60797.05619736111	20.298072969044483	22.625	0.059	r
60797.05715296296	20.29856760273872	22.671	0.06	r
60797.058633657405	20.299339559087816	22.717	0.068	r
60797.05959505787	20.299842312663767	22.665	0.058	r
60797.061048159725	20.30059421293075	22.761	0.059	r
60797.06442966435	20.302361885568224	22.577	0.053	r
60797.0653840625	20.302857068255047	22.607	0.05	r
60797.06586576389	20.30310616648376	22.556	0.048	r
60797.06936555556	20.304927895378974	22.701	0.068	r
60797.07080085648	20.305672937275258	22.646	0.053	r
60797.07176186342	20.306177618279	22.596	0.056	r
60797.07321025463	20.306941566418452	22.701	0.066	r
60797.07416415509	20.307423165279918	22.663	0.062	r
60797.075621157404	20.308196280217114	22.621	0.058	r
60797.07760085648	20.309218200814815	22.818	0.072	r
60797.07907425926	20.30998598442463	22.821	0.07	r
60797.08003706019	20.31048657480498	22.741	0.058	r
60797.08151956018	20.31126199992252	22.745	0.06	r
60797.08296266204	20.31199851659822	22.852	0.071	r
60797.08402585648	20.312567838875854	22.797	0.072	r
60797.0886553588	20.31498615137137	23.435	0.085	g
60797.08961436342	20.315471595848347	23.388	0.086	g
60797.09009395833	20.315720988713817	23.37	0.077	g
60797.091053854165	20.316214721197287	23.247	0.077	g
60797.093455462964	20.317492117230017	23.374	0.085	g
60797.0949015625	20.318234937305693	23.182	0.079	g
60797.09830315972	20.320007008885003	23.359	0.087	g
60797.09926296296	20.320497428208576	23.451	0.08	g
60797.099738854165	20.320735837468778	23.41	0.071	g
60797.10071115741	20.321252023602113	23.293	0.07	g
60797.102168460646	20.32201467321364	23.446	0.08	g
60797.10321956019	20.322542754984628	23.493	0.103	g
60797.10465436343	20.323304285621234	23.501	0.089	g
60797.10562635417	20.32381414698787	23.336	0.093	g
60797.10659076389	20.32431931325879	23.255	0.083	g
60797.10707456018	20.324566856503715	23.387	0.083	g
60797.10804425926	20.325077846645065	23.556	0.109	g
60797.11289425926	20.32760456329851	23.538	0.086	g
60797.113854953706	20.328097515803293	23.344	0.089	g
60797.115291458336	20.32884901568626	23.483	0.093	g
60797.11674175926	20.329589802854386	23.374	0.093	g
60797.11779525463	20.330138794894456	23.526	0.091	g
60797.11924275463	20.330912897357845	23.532	0.113	g
60797.12022145833	20.331409558385754	23.526	0.102	g
60797.12118805556	20.331922297266704	23.479	0.09	g
60797.12167315972	20.33217158847684	23.532	0.083	g
60797.12264466435	20.332651613929936	23.596	0.094	g
60797.12409755787	20.333430910508078	23.491	0.101	g
60797.126062662035	20.334439365657246	23.615	0.115	g
60797.128516655095	20.335719757889	23.561	0.092	g
60797.12900046296	20.335978243795314	23.543	0.105	g
60797.13144895833	20.33725730369592	23.568	0.103	g
60797.132505960646	20.337813253303494	23.419	0.101	g
60797.13347255787	20.33829582242694	23.515	0.115	g
60798.01202335648	20.789667619392013	22.138	0.089	i
60798.01299456019	20.790152486370683	22.199	0.093	i
60798.013494756946	20.79039053259839	22.133	0.092	i
60798.014469155096	20.790916900575958	22.082	0.086	i
60798.01740255787	20.79244006247457	21.956	0.073	i
60798.01839016204	20.792967696200733	22.165	0.082	i
60798.01886736111	20.793208408968265	22.081	0.079	i
60798.0198665625	20.793727487171566	22.188	0.092	i
60798.021321458335	20.79447640221776	22.036	0.08	i
60798.021901458334	20.79476961928783	22.132	0.093	i
60798.02335376157	20.79553029141852	22.05	0.081	i
60798.02432895833	20.796039424081833	22.055	0.085	i
60798.02577266204	20.796789935998966	22.004	0.082	i
60798.02673106481	20.79728788416067	22.305	0.114	i
60798.02817275463	20.79803526685995	22.128	0.098	i
60798.03162195602	20.799814983700266	22.187	0.096	i
60798.03262486111	20.800330039665123	21.961	0.075	i
60798.03551035879	20.80182875053646	22.013	0.081	i
60798.03657885417	20.802391614407544	22.18	0.095	i
60798.04046236111	20.80439952593861	22.192	0.062	r
60798.042705162035	20.805558334170122	22.198	0.072	r
60798.04319975695	20.805827871702487	22.233	0.078	r
60798.04468675926	20.806606789366686	22.215	0.072	r
60798.04712925926	20.80785927081934	22.259	0.067	r
60798.05054945602	20.809629390146462	22.205	0.065	r
60798.05151525463	20.810136966849296	22.215	0.065	r
60798.051993657406	20.81038595072924	22.112	0.06	r
60798.05297145833	20.810891813284172	22.278	0.078	r
60798.054425462964	20.811658141763978	22.06	0.063	r
60798.05548796296	20.812205964179675	22.158	0.065	r
60798.05696686343	20.812975864101134	22.303	0.071	r
60798.059389155096	20.8142308556766	22.018	0.061	r
60798.06035925926	20.814732344676912	22.141	0.065	r
60798.06621055555	20.817776567728668	22.198	0.061	r
60798.07020495371	20.81983015624356	22.139	0.069	r
60798.071650659724	20.820589195626674	22.158	0.062	r
60798.074073055555	20.821844183100175	22.025	0.06	r
60798.075049756946	20.82233243898479	22.135	0.065	r
60798.07649835648	20.823097960311326	22.092	0.064	r
60798.07993525463	20.824875430205218	22.132	0.063	r
60798.08139925926	20.825653804076296	22.115	0.055	r
60798.08237775463	20.826159822251782	22.095	0.064	r
60798.08383525463	20.82691440997066	22.022	0.055	r
60798.08489805555	20.82746373674367	22.052	0.054	r
60798.08634686343	20.828214409593436	22.092	0.061	r
60798.088755763885	20.82945578162668	22.159	0.061	r
60798.08972686343	20.829966304216402	22.136	0.057	r
60798.09117975694	20.830732428480882	22.189	0.063	r
60798.09459395833	20.83248944412479	22.032	0.054	r
60798.09556436342	20.833005206128586	22.125	0.057	r
60798.09604236111	20.83323647359438	22.147	0.058	r
60798.09700356481	20.833735411545014	22.111	0.061	r
60798.09950956018	20.835046451176193	21.994	0.05	r
60798.10407486111	20.837406139132256	22.56	0.058	g
60798.10552525463	20.838157418739634	22.562	0.061	g
60798.10649486111	20.838653486721512	22.541	0.059	g
60798.10793805555	20.839424568418202	22.665	0.063	g
60798.108903761575	20.839925111239122	22.517	0.061	g
60798.11134025463	20.84116375973958	22.576	0.063	g
60798.113781354165	20.84244653216365	22.503	0.057	g
60798.114749953704	20.842940500420067	22.555	0.06	g
60798.115237453705	20.843210299201505	22.521	0.064	g
60798.117654953705	20.84445134472313	22.53	0.064	g
60798.11870555556	20.844993670112757	22.478	0.056	g
60798.12114415509	20.84627287287006	22.587	0.06	g
60798.12259716435	20.84702849779153	22.55	0.056	g
60798.12504675926	20.848301433106585	22.597	0.066	g
60798.12850046296	20.85006267831519	22.554	0.055	g
60798.12946826389	20.850588762142763	22.559	0.054	g
60798.12996216435	20.850824506498665	22.462	0.053	g
60798.13093535879	20.85134051328426	22.518	0.054	g
60798.13240675926	20.852098994200272	22.54	0.054	g
60798.13347206019	20.852654611617027	22.424	0.053	g
60798.134933263886	20.85341018165373	22.582	0.058	g
60798.13592516204	20.85393404829055	22.491	0.061	g
60799.00996466435	21.301109048033588	22.06	0.055	i
60799.01141706019	21.301846239057443	22.209	0.072	i
60799.01243025463	21.302382569823106	22.122	0.069	i
60799.01743755787	21.30496274011986	22.003	0.068	i
60799.018926157405	21.305721990700842	22.039	0.067	i
60799.01992385417	21.30624954045008	22.144	0.066	i
60799.02094195602	21.306778598497697	22.13	0.062	i
60799.02142065972	21.307012131638665	22.215	0.068	i
60799.02242255787	21.30754389077731	22.121	0.066	i
60799.02503826389	21.308898707276203	22.088	0.068	i
60799.02652025463	21.30966296889921	22.162	0.065	i
60799.02752945602	21.310186094219038	22.05	0.072	i
60799.02898076389	21.310920237230867	22.224	0.079	i
60799.02994986111	21.3114248857645	22.194	0.073	i
60799.03488716435	21.313980417080618	22.298	0.068	i
60799.0363765625	21.31475534620825	22.311	0.074	i
60799.037353761574	21.31524341591947	22.191	0.076	i
60799.03884606482	21.316013203470092	22.219	0.093	i
60799.083993657405	21.339351266061673	22.629	0.069	r
60799.08645275463	21.340629195606354	22.592	0.082	r
