mjd	mag	rmsmag	band
60799.03388516204	23.062	0.156	i
60799.03488716435	23.35	0.169	i
60799.0363765625	22.925	0.12	i
60799.092836655094	23.312	0.14	r
60799.09533966435	23.48	0.158	r
60799.09634415509	23.24	0.125	r
60799.098870856484	23.451	0.186	r
60799.101367256946	23.453	0.174	r
60799.106282256944	23.32	0.132	r
60799.10775186343	23.378	0.152	r
60799.10871606482	23.289	0.133	r
60799.110164363425	23.387	0.128	r
60799.11111615741	23.365	0.132	r
60799.116083657405	23.246	0.144	r
60799.120927662036	23.252	0.112	r
60799.12241456019	23.473	0.159	r
60799.12339356481	23.123	0.094	r
60799.12485115741	23.409	0.133	r
60799.125807662036	23.716	0.205	r
60799.12835706019	23.136	0.124	r
60799.130825555556	23.326	0.137	r
60799.13231626157	23.476	0.154	r
60799.13571986111	23.205	0.106	r
60799.13719736111	23.369	0.137	r
60799.138160462964	23.354	0.11	r
60799.14432076389	23.552	0.145	g
60799.14579055556	23.949	0.202	g
60799.150643761575	23.872	0.157	g
60799.151614664355	23.706	0.124	g
60799.15313716435	23.843	0.131	g
60799.15662165509	24.033	0.182	g
