mjd	mag	rmsmag	band
60797.05030326389	23.413	0.146	i
60797.05475565972	23.391	0.136	r
60797.05619736111	23.724	0.156	r
60797.05763766204	23.644	0.148	r
60797.05811815972	23.758	0.172	r
60797.060553564814	23.435	0.099	r
60797.061048159725	23.701	0.133	r
60797.0625040625	23.835	0.164	r
60797.06298335648	23.812	0.139	r
60797.0639478588	23.763	0.153	r
60797.06491126157	23.507	0.121	r
60797.0653840625	23.6	0.122	r
60797.06635175926	23.853	0.152	r
60797.06734466435	23.728	0.138	r
60797.06936555556	23.886	0.228	r
60797.07080085648	23.443	0.111	r
60797.072723958336	23.298	0.105	r
60797.07321025463	23.526	0.139	r
60797.07513615741	24.004	0.18	r
60797.07709076389	23.947	0.181	r
60797.07760085648	23.564	0.123	r
60797.078565358795	23.905	0.172	r
60797.07955865741	23.607	0.131	r
60797.08003706019	23.396	0.105	r
60797.082482060185	23.634	0.129	r
60797.08402585648	23.376	0.133	r
60797.08450626158	23.48	0.181	r
60797.0886553588	24.122	0.17	g
60797.08913925926	23.976	0.149	g
60797.09009395833	24.286	0.181	g
60797.09153856481	24.033	0.158	g
60797.09201576389	24.205	0.154	g
60797.092498460646	24.227	0.176	g
60797.093455462964	24.082	0.161	g
60797.0949015625	24.025	0.163	g
60797.096359560186	23.871	0.137	g
60797.10022266204	24.135	0.137	g
60797.10119525463	23.922	0.144	g
60797.101671261575	24.265	0.17	g
60797.10265266203	23.975	0.163	g
60797.10321956019	24.038	0.187	g
60797.10417576389	24.219	0.163	g
60797.10465436343	24.214	0.173	g
60797.10659076389	24.334	0.201	g
60797.10707456018	24.173	0.173	g
60797.10804425926	23.866	0.15	g
60797.10948665509	23.883	0.155	g
60797.11094186342	24.092	0.158	g
60797.11142436343	23.956	0.128	g
60797.1123940625	24.127	0.174	g
60797.113854953706	24.07	0.171	g
60797.11577425926	24.133	0.178	g
60797.11625346065	24.436	0.211	g
60797.118279560185	23.861	0.183	g
60797.11875346065	24.119	0.18	g
60797.11924275463	23.922	0.167	g
60797.120706354166	24.121	0.168	g
60797.12264466435	24.123	0.155	g
60797.123610462964	24.371	0.195	g
60797.12409755787	24.078	0.175	g
60797.12704315972	24.172	0.175	g
60797.12949516204	24.184	0.196	g
60797.130467662035	23.958	0.179	g
60797.13347255787	24.028	0.156	g
60798.02335376157	23.133	0.217	i
60798.02528725695	22.911	0.185	i
60798.04712925926	23.498	0.196	r
60798.049075856485	23.488	0.203	r
60798.05151525463	23.366	0.187	r
60798.05248475695	23.29	0.162	r
60798.05548796296	23.175	0.179	r
60798.05696686343	23.484	0.206	r
60798.06475395834	23.462	0.198	r
60798.071650659724	23.403	0.191	r
60798.074073055555	23.316	0.193	r
60798.0804265625	23.471	0.197	r
60798.08188085648	23.547	0.188	r
60798.08335165509	23.431	0.201	r
60798.08489805555	23.38	0.201	r
60798.08730986111	23.569	0.209	r
60798.09117975694	23.5	0.198	r
60798.09311585648	23.6	0.19	r
60798.09950956018	23.494	0.195	r
60798.10407486111	24.016	0.219	g
60798.10552525463	24.003	0.212	g
60798.10649486111	23.588	0.146	g
60798.11572255787	23.602	0.158	g
60798.12016445602	23.966	0.194	g
60798.12357675926	23.694	0.164	g
60798.12653505787	23.707	0.195	g
60798.13191865741	24.134	0.216	g
60798.134443055555	23.896	0.183	g
60799.02503826389	23.088	0.155	i
60799.02652025463	23.172	0.16	i
60799.032896157405	23.271	0.193	i
60799.035401863424	23.23	0.165	i
60799.03686565972	23.441	0.194	i
60799.03884606482	23.196	0.204	i
60799.083993657405	23.558	0.142	r
60799.08498846065	23.708	0.173	r
60799.085495162035	23.77	0.179	r
60799.087946458334	23.568	0.175	r
60799.08891106481	23.71	0.192	r
60799.08988535879	23.473	0.144	r
60799.092355960645	23.905	0.209	r
60799.09434145833	23.76	0.186	r
60799.09482096065	23.57	0.16	r
60799.09583436343	23.714	0.178	r
60799.098870856484	23.607	0.188	r
60799.09988065972	23.629	0.187	r
60799.100400358795	23.558	0.167	r
60799.102889664355	23.72	0.2	r
60799.103849259256	23.755	0.206	r
60799.10676486111	23.613	0.187	r
60799.107274664355	23.721	0.189	r
60799.10823016203	23.358	0.15	r
60799.1091999537	23.535	0.169	r
60799.10968055556	23.695	0.163	r
60799.11064346065	23.657	0.151	r
60799.11361826389	23.641	0.185	r
60799.114615162034	23.68	0.185	r
60799.11512106482	23.57	0.149	r
60799.116083657405	23.829	0.204	r
60799.12141126157	23.337	0.136	r
60799.126800555554	23.882	0.21	r
60799.12835706019	23.427	0.148	r
60799.12935815972	23.902	0.208	r
60799.12986915509	23.541	0.137	r
60799.13183106481	23.801	0.182	r
60799.13231626157	23.709	0.162	r
60799.13327326389	23.634	0.153	r
60799.134261354164	23.625	0.149	r
60799.13474085648	23.574	0.14	r
60799.13620995371	23.751	0.186	r
60799.13671986111	23.615	0.142	r
60799.13767675926	23.546	0.155	r
60799.14432076389	24.016	0.18	g
60799.14531025463	23.849	0.143	g
60799.147740960645	24.067	0.162	g
