mjd	mag_val	mag_band
60799.035886122685	23.32	i
60797.025270115744	23.42	i
60797.02428612269	23.39	i
60790.18428112268	23.06	i
60790.18743511574	23.21	i
60790.190067118056	23.14	i
60799.03240912037	22.95	i
60787.10927112269	23.06	i
60787.13043511574	22.95	i
60790.18137711805	22.87	i
60787.114468125	23.13	i
60797.022848125	23.01	i
60797.03994912037	23.30	i
60787.111820115744	22.93	i
60798.01886711806	22.96	i
60797.03256612268	23.38	i
60787.12890412037	23.10	i
60787.11803511574	23.47	i
60790.18188912037	23.06	i
60787.11079711805	23.19	i
60797.045823125	23.45	i
60797.02918711805	23.39	i
60797.03511912037	23.24	i
60787.13247412037	23.03	i
60799.034887118054	23.28	i
60797.03657412037	23.36	i
60797.03015211806	23.41	i
60797.03405511574	23.39	i
60790.180328125	23.18	i
60798.06035912037	23.39	r
60798.06183612269	23.55	r
60795.09771412037	23.31	r
60799.12339412037	23.26	r
60799.11111612269	23.56	r
60798.09604211806	23.25	r
60799.135720115744	23.49	r
60797.068298125	23.31	r
60798.048107118055	23.42	r
60797.07176211805	23.50	r
60798.08634711806	23.28	r
60799.11016412037	23.52	r
60797.07416412037	23.25	r
60798.08731011574	23.37	r
60797.07321011574	23.43	r
60797.06936612268	23.62	r
60799.101367118055	23.32	r
60797.061048125	23.29	r
60799.10289011574	23.45	r
60799.088911122686	23.31	r
60797.08003711805	23.21	r
60799.10871612268	23.52	r
60797.062021122685	23.67	r
60797.07080112268	23.34	r
60797.05863412037	23.45	r
60793.18306511574	23.30	r
60797.082963125	23.36	r
60799.133273125	23.27	r
60799.13231612268	23.34	r
60790.132723125	23.15	r
60798.084898125	23.13	r
60799.10384912037	23.37	r
60798.08383511574	23.48	r
60790.123462118056	23.28	r
60799.12986912037	23.45	r
60798.05938912037	23.27	r
60799.11755711806	23.41	r
60799.094821122686	23.28	r
60799.083994120374	23.77	r
60793.18701511574	23.51	r
60797.084026122684	23.39	r
60799.12485112269	23.66	r
60798.05054912037	23.46	r
60798.08139912037	23.51	r
60793.18452112268	23.57	r
60799.086453125	23.38	r
60799.10040011574	23.41	r
60795.10069912037	23.45	r
60799.08794612269	23.52	r
60797.05619711806	23.50	r
60793.191503125	23.49	r
60799.113618125	23.48	r
60790.119357118056	23.01	r
60799.11996711806	23.42	r
60793.19351412037	23.17	r
60799.120928125	23.40	r
60793.18551112268	23.16	r
60799.11608412037	23.35	r
60798.04955112268	23.27	r
60799.128357118054	23.26	r
60795.06723511574	23.41	r
60798.09459412037	23.10	r
60799.11512112268	23.17	r
60797.08152011574	23.35	r
60795.07123912037	23.31	r
60798.082378125	23.39	r
60797.054756122685	23.25	r
60790.13322912037	23.34	r
60790.12088412037	23.47	r
60790.12295511574	23.39	r
60797.07907412037	23.53	r
60795.10270112268	23.30	r
60798.09951011574	22.80	r
60798.076498125	23.07	r
60798.074073125	23.44	r
60799.112548125	23.35	r
60798.055488125	23.11	r
60798.07993511574	23.23	r
60797.08052511574	23.41	r
60797.06443011574	23.48	r
60790.12451112268	23.11	r
60797.07808211805	23.39	r
60799.105318125	23.36	r
60799.13082612269	23.34	r
60799.12729211806	23.20	r
60797.065866122684	23.51	r
60798.066211122685	23.10	r
60799.09383912037	23.45	r
60799.10628211805	23.38	r
60798.04046211806	23.47	r
60798.08972711806	23.58	r
60799.08549511574	23.85	r
60798.07893711806	23.27	r
60798.05199412037	23.29	r
60799.09037612269	23.45	r
60799.13816011574	23.61	r
60799.107752118056	23.28	r
60799.137197118056	23.62	r
60799.09134112269	23.38	r
60795.07370612268	23.21	r
60799.09779112269	23.56	r
60797.05959511574	23.37	r
60795.101197118056	23.04	r
60797.07660912037	23.56	r
60790.11832912037	23.18	r
60799.13474112268	23.43	r
60798.09359511574	23.32	r
60790.11679912037	23.28	r
60793.19399412037	23.28	r
60798.08091211806	23.31	r
60798.06524011574	23.34	r
60799.10968112268	23.48	r
60798.05151511574	23.54	r
60797.06346412037	23.34	r
60795.05606912037	23.57	r
60798.04320011574	23.33	r
