mjd	mag_val	mag_band
60799.035402118054	23.03	i
60797.03657412037	23.60	i
60797.046778125	23.19	i
60797.03063511574	23.24	i
60799.03144011574	23.24	i
60799.12729211806	23.28	r
60799.108230115744	23.42	r
60799.084988125	23.33	r
60797.05863412037	23.40	r
60797.083450115744	23.49	r
60797.06055412037	23.46	r
60790.132723125	23.16	r
60795.070231122685	23.34	r
60797.054756122685	23.19	r
60798.05151511574	23.38	r
60798.045648125	23.20	r
60798.04712912037	23.24	r
60799.094821122686	23.29	r
60793.19300112269	23.14	r
60797.07709112269	23.44	r
60795.03600011574	23.35	r
60790.12295511574	23.26	r
60799.125336122685	23.43	r
60799.11996711806	23.59	r
60799.129358125	23.41	r
60799.131831122686	23.20	r
60795.03011211805	23.35	r
60798.081881122685	23.37	r
60798.04270511574	23.14	r
60790.123981122684	23.38	r
60798.097968125	23.31	r
60797.06250412037	23.38	r
60795.07123912037	23.15	r
60798.07846011574	22.84	r
60797.05571412037	23.38	r
60797.072242118054	23.50	r
60797.06491112269	23.59	r
60799.128357118054	23.44	r
60793.18356711805	23.22	r
60799.08794612269	23.24	r
60799.09887112268	23.50	r
60798.08827412037	23.19	r
60798.09652912037	23.20	r
60798.04046211806	23.20	r
60798.071651122686	23.22	r
60799.12387412037	23.30	r
60797.07513612269	23.20	r
60793.19449112268	23.14	r
60798.046648125	23.19	r
60795.071727118055	23.50	r
60799.113618125	23.41	r
60795.10219412037	23.54	r
60798.09844612268	23.13	r
60795.05606912037	23.37	r
60799.10676511574	23.34	r
60797.058118125	23.29	r
60797.077601122684	23.57	r
60797.08450612269	23.51	r
60799.13621011574	23.62	r
60795.073216122684	23.27	r
60797.07032011574	23.27	r
60798.06716912037	23.18	r
60790.13375112269	23.10	r
60799.110643125	23.17	r
60798.082378125	23.09	r
60797.06538412037	23.79	r
60795.068768125	23.09	r
60793.187518125	23.21	r
60799.10237511574	23.56	r
60797.07080112268	23.36	r
60799.105318125	23.37	r
60790.12037511574	23.35	r
60795.03110912037	23.18	r
60798.079423125	23.33	r
60793.18652511574	23.12	r
60798.06572711805	23.23	r
60798.08731011574	23.35	r
60797.084026122684	23.28	r
60797.06734511574	23.23	r
60799.11704011574	23.57	r
60798.04907612268	23.29	r
60798.09263912037	23.40	r
60799.133273125	23.29	r
60797.062983125	23.31	r
60799.087468125	23.40	r
60799.112548125	23.22	r
60795.03404011574	23.57	r
60798.073585115744	23.26	r
60798.09951011574	23.06	r
60798.08091211806	23.15	r
60798.09408912037	23.02	r
60799.11852711806	23.22	r
60797.06685912037	23.59	r
60798.08383511574	23.27	r
60799.11111612269	23.34	r
