mjd	mag_val	mag_band
60793.205853125	22.84	g
60799.148693125	22.89	g
60797.103696122686	22.75	g
60797.10611511574	22.90	g
60793.13803112268	22.87	g
60797.11722211805	22.74	g
60798.109388125	22.93	g
60797.095388125	22.85	g
60798.119188125	22.97	g
60793.20333711806	22.81	g
60799.14627412037	23.12	g
60799.14724612269	23.02	g
60797.131936122685	22.95	g
60798.10600612268	22.85	g
60797.09153912037	22.76	g
60798.120651122685	22.80	g
60797.08913912037	22.88	g
60797.11828011574	22.95	g
60797.12458912037	22.91	g
60793.13949112268	22.82	g
60798.10698011574	22.86	g
60797.090578125	22.90	g
60797.107563125	22.91	g
60798.10455912037	22.93	g
60798.12163011574	22.91	g
60793.20083412037	22.68	g
60797.12313211805	22.81	g
60798.124066122684	22.79	g
60797.12215912037	22.84	g
60797.102653125	22.81	g
60797.09297612269	22.84	g
60798.12309011574	22.78	g
60797.11973511574	22.81	g
60797.093943125	22.83	g
60797.105143125	22.69	g
60798.108421122684	22.77	g
60797.13299412037	22.99	g
60799.14384511574	23.06	g
60799.14480011574	22.91	g
60797.10996511574	22.82	g
60799.14285912037	22.97	g
60793.13705412037	22.79	g
60798.110847118056	22.81	g
60793.14193511574	22.88	g
60797.12070612269	22.78	g
60797.02478612268	22.10	i
60799.027043125	22.18	i
60799.03193011574	22.14	i
60797.03947112268	22.49	i
60797.023327118055	22.14	i
60798.02721412037	22.10	i
60798.02625511574	22.25	i
60799.025526122685	22.32	i
60798.037063125	22.42	i
60797.03705612269	22.48	i
60798.03600011574	22.14	i
60799.030471122685	22.25	i
60797.041893125	22.32	i
60797.02719912037	22.21	i
60797.040428125	22.21	i
60799.02946912037	22.40	i
60797.047738125	22.27	i
60797.035602118056	22.29	i
60797.038033125	22.51	i
60797.02575112269	22.15	i
60797.022357118054	22.12	i
60798.02238511574	22.37	i
60798.028663125	22.15	i
60797.07369011574	22.39	r
60799.133749120374	22.37	r
60797.06153211805	22.36	r
60798.08683011574	22.28	r
60798.04368711806	22.31	r
60798.07455912037	22.21	r
60798.068166122684	22.38	r
60798.06962711806	22.25	r
60798.089243125	22.33	r
60798.04094211805	22.38	r
60798.09166511574	22.34	r
60798.04517412037	22.37	r
60797.082003125	22.38	r
60798.05841711805	22.09	r
60798.05987711805	22.38	r
60795.07269912037	22.20	r
60798.060843125	22.18	r
60798.09893612268	22.42	r
60797.083450115744	22.39	r
60799.131318125	22.39	r
60799.085977118055	22.33	r
60795.03110912037	22.25	r
60799.08446612269	22.38	r
60799.10433912037	22.25	r
60797.057638125	22.28	r
60798.08539011574	22.19	r
60798.054914120374	22.45	r
60799.13523112269	22.30	r
60798.057448125	22.41	r
60798.09749412037	22.32	r
60799.10337711806	22.43	r
60797.072242118054	22.41	r
60793.186007118056	22.20	r
60795.071727118055	22.35	r
60799.12044412037	22.35	r
60795.06925612268	22.15	r
60799.11560011574	22.26	r
60798.072137118055	22.30	r
60798.075533125	22.27	r
60799.09935912037	22.36	r
60797.068793125	22.35	r
60799.13035011574	22.34	r
60798.07069112269	22.41	r
60795.03011211805	22.30	r
60797.071286122686	22.37	r
60797.08450612269	22.37	r
60798.084326122684	22.40	r
60797.06007511574	22.37	r
60793.192002118056	22.21	r
60797.05911912037	22.29	r
60798.08286711806	22.30	r
60799.10580612269	22.43	r
60795.070231122685	22.26	r
60799.12884711805	22.44	r
60799.096828125	22.41	r
60797.06984211806	22.33	r
60799.12778412037	22.36	r
60799.116566122684	22.41	r
60793.19100612269	22.37	r
60799.088431122684	22.24	r
60799.09085912037	22.18	r
60799.09828412037	22.33	r
60798.046138125	22.50	r
60799.086953125	22.36	r
60799.100888125	22.41	r
60799.132796122685	22.36	r
60793.18356711805	22.22	r
60798.04761612268	22.21	r
60798.05596912037	22.51	r
60797.056673125	22.28	r
60798.087793125	22.36	r
60798.07697711806	22.47	r
60797.05523511574	22.28	r
60793.18501511574	22.39	r
60799.10185612269	22.47	r
60797.07465011574	22.35	r
60799.11901011574	22.39	r
60798.09998511574	22.32	r
60795.032578125	22.35	r
